Matrix Size,Function,Implementation,Execution Time
16,SYMMETRY,SEQUENTIAL,0.000002138
16,TRANSPOSITION,SEQUENTIAL,0.000002623
16,SYMMETRY,SEQUENTIAL,0.000001960
16,TRANSPOSITION,SEQUENTIAL,0.000002615
16,SYMMETRY,SEQUENTIAL,0.000000447
16,TRANSPOSITION,SEQUENTIAL,0.000000767
16,SYMMETRY,SEQUENTIAL,0.000000432
16,TRANSPOSITION,SEQUENTIAL,0.000000708
16,SYMMETRY,SEQUENTIAL,0.000000402
16,TRANSPOSITION,SEQUENTIAL,0.000000738
16,TRANSPOSITION,SEQUENTIAL,0.000000745
16,TRANSPOSITION,SEQUENTIAL,0.000000693
16,TRANSPOSITION,SEQUENTIAL,0.000000745
16,TRANSPOSITION,SEQUENTIAL,0.000000678
16,TRANSPOSITION,SEQUENTIAL,0.000000708
32,SYMMETRY,SEQUENTIAL,0.000001609
32,TRANSPOSITION,SEQUENTIAL,0.000002660
32,SYMMETRY,SEQUENTIAL,0.000001602
32,TRANSPOSITION,SEQUENTIAL,0.000002600
32,SYMMETRY,SEQUENTIAL,0.000001542
32,TRANSPOSITION,SEQUENTIAL,0.000002570
32,SYMMETRY,SEQUENTIAL,0.000001535
32,TRANSPOSITION,SEQUENTIAL,0.000014134
32,SYMMETRY,SEQUENTIAL,0.000001460
32,TRANSPOSITION,SEQUENTIAL,0.000002466
32,TRANSPOSITION,SEQUENTIAL,0.000002451
32,TRANSPOSITION,SEQUENTIAL,0.000002503
32,TRANSPOSITION,SEQUENTIAL,0.000002474
32,TRANSPOSITION,SEQUENTIAL,0.000002414
32,TRANSPOSITION,SEQUENTIAL,0.000002421
64,SYMMETRY,SEQUENTIAL,0.000005610
64,TRANSPOSITION,SEQUENTIAL,0.000015169
64,SYMMETRY,SEQUENTIAL,0.000005558
64,TRANSPOSITION,SEQUENTIAL,0.000009574
64,SYMMETRY,SEQUENTIAL,0.000005573
64,TRANSPOSITION,SEQUENTIAL,0.000009537
64,SYMMETRY,SEQUENTIAL,0.000005603
64,TRANSPOSITION,SEQUENTIAL,0.000009537
64,SYMMETRY,SEQUENTIAL,0.000005603
64,TRANSPOSITION,SEQUENTIAL,0.000009499
64,TRANSPOSITION,SEQUENTIAL,0.000009559
64,TRANSPOSITION,SEQUENTIAL,0.000009559
64,TRANSPOSITION,SEQUENTIAL,0.000009544
64,TRANSPOSITION,SEQUENTIAL,0.000009529
64,TRANSPOSITION,SEQUENTIAL,0.000009589
128,SYMMETRY,SEQUENTIAL,0.000022426
128,TRANSPOSITION,SEQUENTIAL,0.000067748
128,SYMMETRY,SEQUENTIAL,0.000023864
128,TRANSPOSITION,SEQUENTIAL,0.000041395
128,SYMMETRY,SEQUENTIAL,0.000023782
128,TRANSPOSITION,SEQUENTIAL,0.000041388
128,SYMMETRY,SEQUENTIAL,0.000022501
128,TRANSPOSITION,SEQUENTIAL,0.000038996
128,SYMMETRY,SEQUENTIAL,0.000022493
128,TRANSPOSITION,SEQUENTIAL,0.000039056
128,TRANSPOSITION,SEQUENTIAL,0.000041366
128,TRANSPOSITION,SEQUENTIAL,0.000039145
128,TRANSPOSITION,SEQUENTIAL,0.000039257
128,TRANSPOSITION,SEQUENTIAL,0.000039130
128,TRANSPOSITION,SEQUENTIAL,0.000041366
256,SYMMETRY,SEQUENTIAL,0.000088900
256,TRANSPOSITION,SEQUENTIAL,0.000478335
256,SYMMETRY,SEQUENTIAL,0.000094056
256,TRANSPOSITION,SEQUENTIAL,0.000325203
256,SYMMETRY,SEQUENTIAL,0.000094034
256,TRANSPOSITION,SEQUENTIAL,0.000329852
256,SYMMETRY,SEQUENTIAL,0.000092670
256,TRANSPOSITION,SEQUENTIAL,0.000379160
256,SYMMETRY,SEQUENTIAL,0.000088811
256,TRANSPOSITION,SEQUENTIAL,0.000310943
256,TRANSPOSITION,SEQUENTIAL,0.000344753
256,TRANSPOSITION,SEQUENTIAL,0.000317328
256,TRANSPOSITION,SEQUENTIAL,0.000347398
256,TRANSPOSITION,SEQUENTIAL,0.000310875
256,TRANSPOSITION,SEQUENTIAL,0.000311323
512,SYMMETRY,SEQUENTIAL,0.000455402
512,TRANSPOSITION,SEQUENTIAL,0.003207631
512,SYMMETRY,SEQUENTIAL,0.000441380
512,TRANSPOSITION,SEQUENTIAL,0.002655804
512,SYMMETRY,SEQUENTIAL,0.000441357
512,TRANSPOSITION,SEQUENTIAL,0.002628557
512,SYMMETRY,SEQUENTIAL,0.000440881
512,TRANSPOSITION,SEQUENTIAL,0.002641387
512,SYMMETRY,SEQUENTIAL,0.000446036
512,TRANSPOSITION,SEQUENTIAL,0.002625912
512,TRANSPOSITION,SEQUENTIAL,0.002646469
512,TRANSPOSITION,SEQUENTIAL,0.002626315
512,TRANSPOSITION,SEQUENTIAL,0.002626732
512,TRANSPOSITION,SEQUENTIAL,0.002644055
512,TRANSPOSITION,SEQUENTIAL,0.002631985
1024,SYMMETRY,SEQUENTIAL,0.003025137
1024,TRANSPOSITION,SEQUENTIAL,0.019121855
1024,SYMMETRY,SEQUENTIAL,0.002931274
1024,TRANSPOSITION,SEQUENTIAL,0.017308839
1024,SYMMETRY,SEQUENTIAL,0.002936020
1024,TRANSPOSITION,SEQUENTIAL,0.017315522
1024,SYMMETRY,SEQUENTIAL,0.002929628
1024,TRANSPOSITION,SEQUENTIAL,0.017343491
1024,SYMMETRY,SEQUENTIAL,0.002932198
1024,TRANSPOSITION,SEQUENTIAL,0.017311014
1024,TRANSPOSITION,SEQUENTIAL,0.017308950
1024,TRANSPOSITION,SEQUENTIAL,0.017396688
