Matrix Size,Threads,Function,Implementation,Execution Time
64,64,SYMMETRY,OMP,0.025603637
64,64,TRANSPOSITION,OMP,0.010253631
64,64,SYMMETRY,OMP,0.009638123
64,64,TRANSPOSITION,OMP,0.010129325
64,64,SYMMETRY,OMP,0.009589009
64,64,TRANSPOSITION,OMP,0.004853368
64,64,SYMMETRY,OMP,0.009631976
64,64,TRANSPOSITION,OMP,0.014331371
64,64,SYMMETRY,OMP,0.009638816
64,64,TRANSPOSITION,OMP,0.014260396
64,64,TRANSPOSITION,OMP,0.013284050
64,64,TRANSPOSITION,OMP,0.009260178
64,64,TRANSPOSITION,OMP,0.010161079
64,64,TRANSPOSITION,OMP,0.009620786
64,64,TRANSPOSITION,OMP,0.009614587
128,64,SYMMETRY,OMP,0.019012570
128,64,TRANSPOSITION,OMP,0.009651639
128,64,SYMMETRY,OMP,0.009587355
128,64,TRANSPOSITION,OMP,0.009566098
128,64,SYMMETRY,OMP,0.009538524
128,64,TRANSPOSITION,OMP,0.009596258
128,64,SYMMETRY,OMP,0.012476906
128,64,TRANSPOSITION,OMP,0.009599589
128,64,SYMMETRY,OMP,0.004783936
128,64,TRANSPOSITION,OMP,0.014262959
128,64,TRANSPOSITION,OMP,0.013371281
128,64,TRANSPOSITION,OMP,0.013562150
128,64,TRANSPOSITION,OMP,0.009583645
128,64,TRANSPOSITION,OMP,0.009566315
128,64,TRANSPOSITION,OMP,0.009584635
256,64,SYMMETRY,OMP,0.004883662
256,64,TRANSPOSITION,OMP,0.014405042
256,64,SYMMETRY,OMP,0.009560540
256,64,TRANSPOSITION,OMP,0.011521779
256,64,SYMMETRY,OMP,0.009541921
256,64,TRANSPOSITION,OMP,0.009846538
256,64,SYMMETRY,OMP,0.009537756
256,64,TRANSPOSITION,OMP,0.005128928
256,64,SYMMETRY,OMP,0.011528447
256,64,TRANSPOSITION,OMP,0.009639174
256,64,TRANSPOSITION,OMP,0.009702012
256,64,TRANSPOSITION,OMP,0.009631410
256,64,TRANSPOSITION,OMP,0.009597994
256,64,TRANSPOSITION,OMP,0.004918955
256,64,TRANSPOSITION,OMP,0.011152156
512,64,SYMMETRY,OMP,0.009846382
512,64,TRANSPOSITION,OMP,0.005249217
512,64,SYMMETRY,OMP,0.009727426
512,64,TRANSPOSITION,OMP,0.005438313
512,64,SYMMETRY,OMP,0.009755455
512,64,TRANSPOSITION,OMP,0.010156624
512,64,SYMMETRY,OMP,0.009734638
512,64,TRANSPOSITION,OMP,0.009967774
512,64,SYMMETRY,OMP,0.009732477
512,64,TRANSPOSITION,OMP,0.005246326
512,64,TRANSPOSITION,OMP,0.010271862
512,64,TRANSPOSITION,OMP,0.005467691
512,64,TRANSPOSITION,OMP,0.010096416
512,64,TRANSPOSITION,OMP,0.005414426
512,64,TRANSPOSITION,OMP,0.010167710
1024,64,SYMMETRY,OMP,0.010036908
1024,64,TRANSPOSITION,OMP,0.011162102
1024,64,SYMMETRY,OMP,0.010109641
1024,64,TRANSPOSITION,OMP,0.011123113
1024,64,SYMMETRY,OMP,0.010008834
1024,64,TRANSPOSITION,OMP,0.011087522
1024,64,SYMMETRY,OMP,0.005439289
1024,64,TRANSPOSITION,OMP,0.015826724
1024,64,SYMMETRY,OMP,0.010195069
1024,64,TRANSPOSITION,OMP,0.012306660
1024,64,TRANSPOSITION,OMP,0.011799507
1024,64,TRANSPOSITION,OMP,0.006604411
1024,64,TRANSPOSITION,OMP,0.006275341
1024,64,TRANSPOSITION,OMP,0.006825849
1024,64,TRANSPOSITION,OMP,0.006917238
2048,64,SYMMETRY,OMP,0.011649854
2048,64,TRANSPOSITION,OMP,0.015423395
2048,64,SYMMETRY,OMP,0.011230014
2048,64,TRANSPOSITION,OMP,0.011214115
2048,64,SYMMETRY,OMP,0.007084228
2048,64,TRANSPOSITION,OMP,0.015055083
2048,64,SYMMETRY,OMP,0.006367259
2048,64,TRANSPOSITION,OMP,0.014452972
2048,64,SYMMETRY,OMP,0.010558560
2048,64,TRANSPOSITION,OMP,0.023869477
2048,64,TRANSPOSITION,OMP,0.011213057
2048,64,TRANSPOSITION,OMP,0.020260118
2048,64,TRANSPOSITION,OMP,0.014735706
2048,64,TRANSPOSITION,OMP,0.015609324
2048,64,TRANSPOSITION,OMP,0.016204484
4096,64,SYMMETRY,OMP,0.029641762
4096,64,TRANSPOSITION,OMP,0.188951872
4096,64,SYMMETRY,OMP,0.026446640
4096,64,TRANSPOSITION,OMP,0.187923916
4096,64,SYMMETRY,OMP,0.028281480
4096,64,TRANSPOSITION,OMP,0.167279772
4096,64,SYMMETRY,OMP,0.026571400
4096,64,TRANSPOSITION,OMP,0.179049075
4096,64,SYMMETRY,OMP,0.036388956
4096,64,TRANSPOSITION,OMP,0.212536559
4096,64,TRANSPOSITION,OMP,0.171083182
4096,64,TRANSPOSITION,OMP,0.186856568
4096,64,TRANSPOSITION,OMP,0.193425484
4096,64,TRANSPOSITION,OMP,0.178038947
4096,64,TRANSPOSITION,OMP,0.183315627
64,64,SYMMETRY,OMP,0.009879529
64,64,TRANSPOSITION,OMP,0.010152064
64,64,SYMMETRY,OMP,0.009966508
64,64,TRANSPOSITION,OMP,0.010115363
64,64,SYMMETRY,OMP,0.010139912
64,64,TRANSPOSITION,OMP,0.015086815
64,64,SYMMETRY,OMP,0.005094141
64,64,TRANSPOSITION,OMP,0.015125871
64,64,SYMMETRY,OMP,0.005202353
64,64,TRANSPOSITION,OMP,0.015055880
64,64,TRANSPOSITION,OMP,0.010180987
64,64,TRANSPOSITION,OMP,0.010190293
64,64,TRANSPOSITION,OMP,0.010087952
64,64,TRANSPOSITION,OMP,0.005069226
64,64,TRANSPOSITION,OMP,0.009834155
128,64,SYMMETRY,OMP,0.014180548
