Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
16,8,SYMMETRY,SEQUENTIAL,0.000000708
16,8,TRANSPOSITION,SEQUENTIAL,0.000000700
16,8,SYMMETRY,SEQUENTIAL,0.000000611
16,8,TRANSPOSITION,SEQUENTIAL,0.000000693
16,8,SYMMETRY,SEQUENTIAL,0.000000492
16,8,TRANSPOSITION,SEQUENTIAL,0.000000641
16,8,SYMMETRY,SEQUENTIAL,0.000000477
16,8,TRANSPOSITION,SEQUENTIAL,0.000000685
16,8,SYMMETRY,SEQUENTIAL,0.000000417
16,8,TRANSPOSITION,SEQUENTIAL,0.000000656
16,8,TRANSPOSITION,SEQUENTIAL,0.000000671
16,8,TRANSPOSITION,SEQUENTIAL,0.000000656
16,8,TRANSPOSITION,SEQUENTIAL,0.000000656
16,8,TRANSPOSITION,SEQUENTIAL,0.000000671
16,8,TRANSPOSITION,SEQUENTIAL,0.000000641
32,8,SYMMETRY,SEQUENTIAL,0.000001743
32,8,TRANSPOSITION,SEQUENTIAL,0.000002339
32,8,SYMMETRY,SEQUENTIAL,0.000001691
32,8,TRANSPOSITION,SEQUENTIAL,0.000002339
32,8,SYMMETRY,SEQUENTIAL,0.000001632
32,8,TRANSPOSITION,SEQUENTIAL,0.000002384
32,8,SYMMETRY,SEQUENTIAL,0.000001691
32,8,TRANSPOSITION,SEQUENTIAL,0.000002265
32,8,SYMMETRY,SEQUENTIAL,0.000001639
32,8,TRANSPOSITION,SEQUENTIAL,0.000002302
32,8,TRANSPOSITION,SEQUENTIAL,0.000002384
32,8,TRANSPOSITION,SEQUENTIAL,0.000002280
32,8,TRANSPOSITION,SEQUENTIAL,0.000002347
32,8,TRANSPOSITION,SEQUENTIAL,0.000002332
32,8,TRANSPOSITION,SEQUENTIAL,0.000002310
64,8,SYMMETRY,SEQUENTIAL,0.000006139
64,8,TRANSPOSITION,SEQUENTIAL,0.000015691
64,8,SYMMETRY,SEQUENTIAL,0.000006028
64,8,TRANSPOSITION,SEQUENTIAL,0.000009000
64,8,SYMMETRY,SEQUENTIAL,0.000006199
64,8,TRANSPOSITION,SEQUENTIAL,0.000008985
64,8,SYMMETRY,SEQUENTIAL,0.000006042
64,8,TRANSPOSITION,SEQUENTIAL,0.000009105
64,8,SYMMETRY,SEQUENTIAL,0.000006072
