Matrix Size,CPUs,Function,Implementation,MPI Implementation,Execution Time, Execution Time (no msg)
32,32,SYMMETRY,MPI,REDUCE,0.008439541,0.000000238
32,32,TRANSPOSITION,MPI,SCATTER,0.000678778,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000031710,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000040293,0.000000000
32,32,SYMMETRY,MPI,REDUCE,0.000041723,0.000000954
32,32,TRANSPOSITION,MPI,SCATTER,0.000216961,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000025749,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000022650,0.000000238
32,32,SYMMETRY,MPI,REDUCE,0.000025034,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000020742,0.000000238
32,32,TRANSPOSITION,MPI,SCATTER,0.000021696,0.000000000
32,32,TRANSPOSITION,MPI,BROADCAST,0.000018358,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000022888,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000020504,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000021696,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000018120,0.000000477
32,32,TRANSPOSITION,MPI,SCATTER,0.000022888,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000019073,0.000000715
32,32,TRANSPOSITION,MPI,SCATTER,0.000022650,0.000000238
32,32,TRANSPOSITION,MPI,BROADCAST,0.000018835,0.000001192
64,32,SYMMETRY,MPI,REDUCE,0.000157595,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000044823,0.000000238
64,32,SYMMETRY,MPI,REDUCE,0.000046253,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000030041,0.000000238
64,32,SYMMETRY,MPI,REDUCE,0.000045776,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000027895,0.000000238
64,32,SYMMETRY,MPI,REDUCE,0.000045300,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000028133,0.000000477
64,32,SYMMETRY,MPI,REDUCE,0.000046253,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000032187,0.000000477
64,32,TRANSPOSITION,MPI,SCATTER,0.000026703,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000041485,0.000000954
64,32,TRANSPOSITION,MPI,SCATTER,0.000027180,0.000000238
64,32,TRANSPOSITION,MPI,BROADCAST,0.000046015,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000027418,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000044823,0.000001192
64,32,TRANSPOSITION,MPI,SCATTER,0.000027657,0.000000477
64,32,TRANSPOSITION,MPI,BROADCAST,0.000045061,0.000000715
64,32,TRANSPOSITION,MPI,SCATTER,0.000027657,0.000000238
64,32,TRANSPOSITION,MPI,BROADCAST,0.000044584,0.000000715
128,32,SYMMETRY,MPI,REDUCE,0.000627041,0.000002146
128,32,TRANSPOSITION,MPI,SCATTER,0.000152826,0.000001669
128,32,SYMMETRY,MPI,REDUCE,0.000200272,0.000001907
128,32,TRANSPOSITION,MPI,SCATTER,0.000061035,0.000001431
128,32,SYMMETRY,MPI,REDUCE,0.000119209,0.000001907
128,32,TRANSPOSITION,MPI,SCATTER,0.000058413,0.000001907
128,32,SYMMETRY,MPI,REDUCE,0.000115156,0.000001907
128,32,TRANSPOSITION,MPI,SCATTER,0.000056505,0.000001431
